scene_id,question_type,question,answer,prediction,attribution,reason
scene_126,comparison,"Which lasted longer, the footsteps or the engine?",They lasted the same amount of time.,engine,perception/context,"Comparison perception mismatch: ground truth relation=same, context relation=b_longer."
scene_126,duration,Approximately how long does the siren event last?,5.0 seconds,Approximately 3.36 seconds,perception/context,"Duration boundary mismatch for 'siren': ground truth=5.00s, context=3.36s."
scene_127,apparent,What distinct sounds are present in the audio scene?,"footsteps, rain, thunderstorm, water drops, wind","rain, water drops, thunderstorm, wind",perception/context,Required audio evidence is missing from the generated context.
scene_127,counting,How many separate water drops events occur in the scene?,2,1,perception/context,"Counting perception mismatch for 'water_drops': ground truth=2, context=1."
scene_127,temporal,"Which occurred first, the footsteps or the water drops?",footsteps,Cannot determine from the available audio context.,perception/context,Temporal target 'footsteps' is missing from context.
scene_127,comparison,"Which lasted longer, the wind or the thunderstorm?",wind,thunderstorm,perception/context,"Comparison perception mismatch: ground truth relation=same, context relation=b_longer."
scene_127,duration,Approximately how long does the thunderstorm event last?,5.0 seconds,Approximately 3.36 seconds,perception/context,"Duration boundary mismatch for 'thunderstorm': ground truth=5.00s, context=3.36s."
scene_128,apparent,What distinct sounds are present in the audio scene?,"cow, crow, hen, wind","engine, siren, hen, rooster, cow, dog, crow, chirping_birds",perception/context,Required audio evidence is missing from the generated context.
scene_128,temporal,"Which occurred first, the wind or the crow?",wind,Cannot determine from the available audio context.,perception/context,Temporal target 'wind' is missing from context.
scene_128,yes_no,Is there a keyboard typing sound in the scene?,no,Cannot determine from the available audio context.,QA reasoning,"The required audio evidence is represented in the context, but the QA model produced an incorrect answer."
scene_128,comparison,"Which lasted longer, the crow or the cow?",crow,The cow lasted longer.,perception/context,"Comparison perception mismatch: ground truth relation=same, context relation=b_longer."
scene_129,apparent,What distinct sounds are present in the audio scene?,"chirping birds, crow, dog, footsteps, wind","engine, siren, dog",perception/context,Required audio evidence is missing from the generated context.
scene_129,counting,How many separate dog events occur in the scene?,3,2,perception/context,"Counting perception mismatch for 'dog': ground truth=3, context=2."
scene_129,temporal,"Which occurred first, the crow or the footsteps?",crow,Cannot determine from the available audio context.,perception/context,Temporal target 'crow' is missing from context.
scene_129,comparison,"Which lasted longer, the footsteps or the chirping birds?",footsteps,Cannot determine from the available audio context.,perception/context,Comparison target 'chirping_birds' is missing from context.
scene_129,duration,Approximately how long does the chirping birds event last?,5.0 seconds,Cannot determine from the available audio context.,perception/context,Duration target 'chirping_birds' is missing from context.
scene_130,comparison,"Which lasted longer, the engine or the footsteps?",They lasted the same amount of time.,engine,perception/context,"Comparison perception mismatch: ground truth relation=same, context relation=b_longer."
scene_131,apparent,What distinct sounds are present in the audio scene?,"cow, crow, sheep, wind","chirping_birds, crow, engine, siren, sheep, cow",perception/context,Required audio evidence is missing from the generated context.
scene_131,counting,How many separate sheep events occur in the scene?,2,1,perception/context,"Counting perception mismatch for 'sheep': ground truth=2, context=1."
scene_131,temporal,"Which occurred first, the crow or the wind?",crow,Cannot determine from the available audio context.,perception/context,Temporal target 'wind' is missing from context.
scene_131,comparison,"Which lasted longer, the wind or the crow?",crow,Cannot determine from the available audio context.,perception/context,Comparison target 'wind' is missing from context.
scene_131,duration,Approximately how long does the crow event last?,5.0 seconds,Approximately 1.5 to 2 seconds,perception/context,"Duration boundary mismatch for 'crow': ground truth=5.00s, context=1.92s."
scene_132,apparent,What distinct sounds are present in the audio scene?,"car horn, rain, thunderstorm, water drops, wind","rain, water_drops, thunderstorm, engine, clock_tick",perception/context,Required audio evidence is missing from the generated context.
scene_132,temporal,"Which occurred first, the rain or the car horn?",rain,Cannot determine from the available audio context.,perception/context,Temporal target 'car_horn' is missing from context.
scene_132,comparison,"Which lasted longer, the wind or the rain?",They lasted the same amount of time.,Cannot determine from the available audio context.,perception/context,Comparison target 'wind' is missing from context.
scene_133,apparent,What distinct sounds are present in the audio scene?,"cow, hen, sheep, wind","engine, hen, rooster, cow, car_horn, chirping_birds, sheep",perception/context,Required audio evidence is missing from the generated context.
scene_133,comparison,"Which lasted longer, the cow or the hen?",They lasted the same amount of time.,hen,mixed/ambiguous,"The context differs from the ground truth for a sound relevant to this question, but the available evidence does not clearly establish that this caused the incorrect answer."
scene_134,counting,How many separate siren events occur in the scene?,4,2,perception/context,"Counting perception mismatch for 'siren': ground truth=4, context=2."
scene_134,comparison,"Which lasted longer, the engine or the siren?",They lasted the same amount of time.,The siren lasted longer.,perception/context,"Comparison perception mismatch: ground truth relation=same, context relation=a_longer."
scene_134,duration,Approximately how long does the siren event last?,5.0 seconds,Approximately 7.2 seconds,perception/context,"Duration boundary mismatch for 'siren': ground truth=5.00s, context=7.20s."
scene_135,apparent,What distinct sounds are present in the audio scene?,"cow, crow, hen, sheep, wind","engine, dog, sheep, cow, crow, chirping_birds, hen, rooster",perception/context,Required audio evidence is missing from the generated context.
scene_135,yes_no,Is there a dog sound in the scene?,no,Yes,mixed/ambiguous,"The context differs from the ground truth for a sound relevant to this question, but the available evidence does not clearly establish that this caused the incorrect answer."
scene_135,comparison,"Which lasted longer, the cow or the hen?",cow,The hen lasted longer.,perception/context,"Comparison perception mismatch: ground truth relation=same, context relation=a_longer."
scene_135,duration,Approximately how long does the sheep event last?,5.0 seconds,Approximately 1.44 seconds,perception/context,"Duration boundary mismatch for 'sheep': ground truth=5.00s, context=1.44s."
scene_136,apparent,What distinct sounds are present in the audio scene?,"car horn, chirping birds, dog, footsteps, wind","engine, siren, chirping_birds, footsteps, dog",perception/context,Required audio evidence is missing from the generated context.
scene_136,counting,How many separate footsteps events occur in the scene?,3,2,perception/context,"Counting perception mismatch for 'footsteps': ground truth=3, context=2."
scene_136,temporal,"Which occurred first, the wind or the chirping birds?",wind,Cannot determine from the available audio context.,perception/context,Temporal target 'wind' is missing from context.
scene_136,comparison,"Which lasted longer, the wind or the dog?",wind,Cannot determine from the available audio context.,perception/context,Comparison target 'wind' is missing from context.
scene_136,duration,Approximately how long does the footsteps event last?,5.0 seconds,Approximately 0.96 seconds,perception/context,"Duration boundary mismatch for 'footsteps': ground truth=5.00s, context=0.96s."
scene_136,temporal,What sound occurs last in the scene?,car horn,footsteps,perception/context,Required audio evidence is missing from the generated context.
scene_137,apparent,What distinct sounds are present in the audio scene?,"crow, hen, rooster, wind","engine, siren, chirping_birds, hen, rooster, crow",perception/context,Required audio evidence is missing from the generated context.
scene_137,counting,How many separate rooster events occur in the scene?,3,1,perception/context,"Counting perception mismatch for 'rooster': ground truth=3, context=1."
scene_137,temporal,"Which occurred first, the wind or the crow?",wind,Cannot determine from the available audio context.,perception/context,Temporal target 'wind' is missing from context.
scene_137,comparison,"Which lasted longer, the crow or the rooster?",They lasted the same amount of time.,The rooster lasted longer.,perception/context,"Comparison perception mismatch: ground truth relation=same, context relation=b_longer."
scene_137,duration,Approximately how long does the rooster event last?,5.0 seconds,Approximately 12.48 seconds,perception/context,"Duration boundary mismatch for 'rooster': ground truth=5.00s, context=12.48s."
scene_137,temporal,What sound occurs last in the scene?,rooster,crow,mixed/ambiguous,"The context differs from the ground truth for a sound relevant to this question, but the available evidence does not clearly establish that this caused the incorrect answer."
scene_138,apparent,What distinct sounds are present in the audio scene?,"crow, hen, rooster, wind","engine, dog, hen, rooster, chirping_birds, crow",perception/context,Required audio evidence is missing from the generated context.
scene_138,counting,How many separate crow events occur in the scene?,2,1,perception/context,"Counting perception mismatch for 'crow': ground truth=2, context=1."
scene_138,comparison,"Which lasted longer, the hen or the wind?",They lasted the same amount of time.,Cannot determine from the available audio context.,perception/context,Comparison target 'wind' is missing from context.
scene_138,duration,Approximately how long does the rooster event last?,5.0 seconds,Approximately 11.04 seconds,perception/context,"Duration boundary mismatch for 'rooster': ground truth=5.00s, context=11.04s."
scene_139,apparent,What distinct sounds are present in the audio scene?,"clock tick, door wood knock, laughing","laughing, clock_tick",perception/context,Required audio evidence is missing from the generated context.
scene_139,counting,How many separate laughing events occur in the scene?,3,2,perception/context,"Counting perception mismatch for 'laughing': ground truth=3, context=2."
scene_139,temporal,"Which occurred first, the door wood knock or the laughing?",door wood knock,Cannot determine from the available audio context.,perception/context,Temporal target 'door_wood_knock' is missing from context.
scene_139,comparison,"Which lasted longer, the clock tick or the door wood knock?",door wood knock,Cannot determine from the available audio context.,perception/context,Comparison target 'door_wood_knock' is missing from context.
scene_139,duration,Approximately how long does the laughing event last?,5.0 seconds,Approximately 4–5 seconds,mixed/ambiguous,"The context differs from the ground truth for a sound relevant to this question, but the available evidence does not clearly establish that this caused the incorrect answer."
scene_140,apparent,What distinct sounds are present in the audio scene?,"car horn, chirping birds, crow, dog, wind","chirping_birds, crow, engine, dog",perception/context,Required audio evidence is missing from the generated context.
scene_140,counting,How many separate crow events occur in the scene?,2,1,perception/context,"Counting perception mismatch for 'crow': ground truth=2, context=1."
scene_140,yes_no,Is there a wind sound in the scene?,yes,No,perception/context,Required audio evidence is missing from the generated context.
scene_140,comparison,"Which lasted longer, the dog or the chirping birds?",chirping birds,The chirping birds lasted longer than the dog.,perception/context,"Comparison perception mismatch: ground truth relation=same, context relation=b_longer."
scene_140,duration,Approximately how long does the chirping birds event last?,5.0 seconds,Approximately 1.92 seconds,perception/context,"Duration boundary mismatch for 'chirping_birds': ground truth=5.00s, context=1.92s."
scene_140,temporal,What sound occurs last in the scene?,dog,chirping_birds,mixed/ambiguous,"The context differs from the ground truth for a sound relevant to this question, but the available evidence does not clearly establish that this caused the incorrect answer."
scene_141,apparent,What distinct sounds are present in the audio scene?,"cow, crow, rooster, sheep, wind","siren, hen, rooster, sheep, chirping_birds, crow",perception/context,Required audio evidence is missing from the generated context.
scene_141,counting,How many separate wind events occur in the scene?,1,0,perception/context,"Counting perception mismatch for 'wind': ground truth=1, context=0."
scene_141,temporal,"Which occurred first, the wind or the sheep?",wind,Cannot determine from the available audio context.,perception/context,Temporal target 'wind' is missing from context.
scene_141,temporal,What sound occurs last in the scene?,crow,siren,QA reasoning,"The required audio evidence is represented in the context, but the QA model produced an incorrect answer."
scene_142,apparent,What distinct sounds are present in the audio scene?,"car horn, chirping birds, crow, dog, wind","chirping_birds, hen, rooster, dog, crow",perception/context,Required audio evidence is missing from the generated context.
scene_142,yes_no,Is there a hen sound in the scene?,no,"Yes, there is a hen sound in the scene.",mixed/ambiguous,"The context differs from the ground truth for a sound relevant to this question, but the available evidence does not clearly establish that this caused the incorrect answer."
scene_142,comparison,"Which lasted longer, the chirping birds or the dog?",They lasted the same amount of time.,chirping birds,perception/context,"Comparison perception mismatch: ground truth relation=same, context relation=b_longer."
scene_142,duration,Approximately how long does the dog event last?,5.0 seconds,Approximately 2.4 to 2.9 seconds.,perception/context,"Duration boundary mismatch for 'dog': ground truth=5.00s, context=2.88s."
